loan_id,customer_id,gender,age,marital_status,education_level,county,employment_status,monthly_income_kes,mobile_money_usage,airtime_topup_frequency,loan_amount_kes,loan_term_months,interest_rate,repayment_frequency,num_previous_loans,num_defaults,loan_purpose,collateral_type,group_loan,days_late,repayment_progress,defaulted
L100049,C50049,Female,34,Married,None,Eldoret,Self-employed,26616.06,7075.39,8,10479,3,18.07,Monthly,0,0,Medical,Electronics,True,9,32.43,0
L100050,C50050,Female,48,Divorced,Primary,Machakos,Unemployed,34657.49,7896.9,5,30274,24,17.76,Bi-weekly,2,1,Medical,Title Deed,False,53,51.33,0
L100051,C50051,Male,32,Widowed,None,Machakos,Unemployed,35543.11,18842.0,3,44904,12,12.98,Monthly,2,1,Agriculture,Title Deed,False,1,64.53,0
L100052,C50052,Female,37,Divorced,Primary,Machakos,Formal,16432.74,10117.24,9,32517,6,21.34,Weekly,1,0,Household,Livestock,True,46,85.48,0
L100053,C50053,Male,22,Widowed,Tertiary,Nairobi,Unemployed,26122.04,22395.2,9,40387,3,20.51,Bi-weekly,1,1,Household,None,False,14,53.7,0
L100054,C50054,Female,24,Single,Secondary,Nairobi,Formal,36545.04,11170.26,3,37257,12,13.48,Weekly,4,0,Medical,None,False,18,40.66,0
L100055,C50055,Other,35,Single,None,Nairobi,Informal,15679.01,21777.79,4,42916,12,16.51,Bi-weekly,1,0,Medical,Guarantor,True,16,60.28,0
L100056,C50056,Other,28,Divorced,Primary,Machakos,Formal,38954.74,10735.68,4,18292,12,11.11,Weekly,1,1,Emergency,Electronics,True,33,37.18,1
L100057,C50057,Male,49,Widowed,Secondary,Mombasa,Unemployed,11377.41,4715.5,7,10281,6,10.65,Bi-weekly,4,0,Household,Guarantor,True,35,40.33,0
L100058,C50058,Other,44,Married,Tertiary,Meru,Unemployed,40624.06,-177.45,5,6273,6,23.65,Monthly,4,1,Agriculture,None,False,27,68.51,0
L100059,C50059,Other,43,Widowed,Primary,Kisumu,Informal,25383.12,16186.87,7,23917,3,16.98,Weekly,7,0,Medical,Electronics,False,41,19.91,0
L100060,C50060,Female,54,Widowed,None,Nairobi,Informal,60208.92,894.23,6,7274,6,24.17,Bi-weekly,0,0,Medical,Guarantor,False,51,13.36,0
L100061,C50061,Male,62,Widowed,Tertiary,Nairobi,Formal,24595.53,20887.06,8,30872,6,15.33,Monthly,2,0,Household,Title Deed,True,23,63.97,0
L100062,C50062,Female,45,Single,Primary,Meru,Formal,42943.49,3838.93,7,46326,3,18.65,Weekly,2,0,Household,None,True,48,33.45,0
L100063,C50063,Female,19,Widowed,None,Eldoret,Self-employed,28774.7,15786.96,4,38036,6,9.98,Bi-weekly,1,0,Emergency,Title Deed,False,31,79.53,0
L100064,C50064,Female,37,Divorced,Tertiary,Machakos,Self-employed,45743.76,24909.58,9,42748,6,23.36,Bi-weekly,2,1,Business,Title Deed,False,50,50.14,0
L100065,C50065,Female,21,Single,Tertiary,Kisumu,Formal,50755.36,18857.56,4,39577,6,18.87,Bi-weekly,2,0,Business,Electronics,True,11,33.91,0
L100066,C50066,Female,30,Single,Secondary,Mombasa,Informal,32187.96,8740.07,5,20350,24,19.22,Weekly,2,0,Emergency,Electronics,True,42,20.24,0
L100067,C50067,Female,41,Single,Secondary,Meru,Formal,30413.32,31623.0,11,15383,12,8.76,Weekly,2,1,Emergency,Livestock,False,39,27.52,0
L100068,C50068,Female,55,Widowed,Secondary,Kisumu,Self-employed,46539.16,23649.39,4,29828,6,18.83,Weekly,2,0,Emergency,Guarantor,False,23,1.89,1
L100069,C50069,Male,57,Married,Primary,Eldoret,Informal,42023.82,19754.4,9,12318,12,23.21,Monthly,3,0,Household,Electronics,True,25,83.01,0
L100070,C50070,Other,62,Widowed,Tertiary,Mombasa,Self-employed,4595.71,11840.29,5,27717,6,9.89,Weekly,2,0,Education,Electronics,True,46,73.85,1
L100071,C50071,Female,46,Widowed,Secondary,Machakos,Formal,45042.54,7754.48,6,21852,6,7.37,Monthly,3,0,Household,Title Deed,False,39,85.57,0
L100072,C50072,Female,53,Married,None,Nakuru,Formal,57607.59,31037.38,8,26007,24,19.21,Monthly,1,0,Business,Livestock,True,19,13.87,1
L100073,C50073,Female,19,Widowed,Primary,Machakos,Unemployed,47963.16,11535.57,5,4416,3,5.41,Monthly,1,0,Household,Livestock,True,49,74.85,0
L100074,C50074,Female,58,Divorced,Secondary,Machakos,Formal,23622.0,7306.77,5,11412,6,13.61,Bi-weekly,3,0,Household,Guarantor,True,26,56.46,0
L100075,C50075,Female,35,Married,Primary,Nairobi,Unemployed,5697.08,10461.8,5,7802,24,5.49,Monthly,1,0,Education,Guarantor,True,6,26.33,1
L100076,C50076,Female,25,Divorced,Tertiary,Mombasa,Unemployed,16191.48,3368.09,7,3913,24,9.25,Monthly,1,0,Education,None,False,3,78.8,1
L100077,C50077,Other,32,Divorced,None,Eldoret,Unemployed,41148.86,6581.2,6,43013,6,17.66,Weekly,0,0,Medical,Electronics,False,16,69.88,1
L100078,C50078,Other,58,Single,Tertiary,Kisumu,Unemployed,2347.79,14860.39,8,6066,3,6.87,Bi-weekly,1,1,Education,Title Deed,False,12,56.34,0
L100079,C50079,Female,34,Single,None,Mombasa,Self-employed,48666.7,14157.08,4,21099,12,7.38,Monthly,0,0,Agriculture,Livestock,False,0,52.65,1
L100080,C50080,Other,40,Married,Tertiary,Eldoret,Formal,56546.9,15107.33,8,28221,3,18.23,Bi-weekly,0,1,Household,Guarantor,True,51,49.97,0
L100081,C50081,Male,19,Widowed,Primary,Meru,Formal,35738.01,2724.2,8,42529,6,20.51,Weekly,5,0,Household,None,True,44,46.83,0
L100082,C50082,Female,23,Divorced,Tertiary,Machakos,Formal,44975.59,15986.74,8,27517,12,11.35,Monthly,1,1,Medical,None,False,42,21.33,0
L100083,C50083,Male,46,Widowed,None,Mombasa,Unemployed,25008.0,8408.76,8,14238,6,16.73,Monthly,0,2,Agriculture,Title Deed,False,41,40.06,0
L100084,C50084,Male,44,Divorced,Primary,Nairobi,Self-employed,28277.96,15474.02,5,3924,3,16.79,Monthly,1,1,Education,Electronics,False,42,39.58,0
L100085,C50085,Female,54,Single,Primary,Meru,Self-employed,27311.51,23529.47,6,16116,12,11.01,Weekly,0,2,Agriculture,Title Deed,False,54,7.31,1
L100086,C50086,Other,51,Single,None,Kisumu,Unemployed,23344.12,22383.45,6,47219,24,10.64,Monthly,1,0,Education,Electronics,False,40,76.47,0
L100087,C50087,Male,35,Single,None,Meru,Unemployed,38567.68,18368.13,4,19296,24,17.33,Monthly,3,2,Business,Guarantor,True,58,38.5,0
L100088,C50088,Female,59,Married,Primary,Kisumu,Formal,48280.13,12310.89,6,10234,12,6.3,Bi-weekly,3,0,Business,Title Deed,False,19,55.91,0
L100089,C50089,Male,27,Divorced,None,Mombasa,Self-employed,19571.47,12365.37,7,7398,3,20.63,Monthly,2,0,Medical,Title Deed,True,52,49.4,0
L100090,C50090,Male,55,Widowed,Tertiary,Meru,Informal,28538.37,7513.72,8,26106,6,18.76,Monthly,3,0,Medical,None,False,34,90.27,1
L100091,C50091,Male,61,Divorced,Tertiary,Eldoret,Informal,33095.03,17854.07,6,45116,12,6.34,Weekly,2,1,Education,Livestock,False,24,47.2,0
L100092,C50092,Male,34,Widowed,Tertiary,Nairobi,Informal,25953.34,4551.25,3,23637,3,19.51,Monthly,1,0,Emergency,Livestock,False,39,66.86,0
L100093,C50093,Other,30,Widowed,Primary,Machakos,Informal,29036.03,-759.0,6,47106,6,15.49,Monthly,0,0,Agriculture,Title Deed,True,4,75.08,0
L100094,C50094,Male,59,Widowed,Tertiary,Nairobi,Unemployed,16789.84,8903.75,6,9553,3,5.23,Bi-weekly,2,1,Education,Livestock,True,43,28.14,1
L100095,C50095,Male,44,Divorced,Primary,Mombasa,Formal,30141.19,-1054.2,6,46592,24,17.26,Weekly,1,1,Emergency,Title Deed,True,6,4.15,0
L100096,C50096,Male,19,Single,None,Nakuru,Informal,32283.85,5642.74,8,18163,24,23.76,Monthly,1,0,Medical,None,True,3,8.59,1
L100097,C50097,Other,51,Married,Tertiary,Meru,Formal,26378.17,16047.95,6,17254,6,15.3,Bi-weekly,0,0,Emergency,Title Deed,False,31,54.51,0
L100098,C50098,Male,48,Married,Primary,Mombasa,Formal,37857.62,-4825.78,4,8981,24,22.39,Bi-weekly,2,1,Medical,None,True,23,9.59,0
L100099,C50099,Male,40,Single,Secondary,Meru,Self-employed,27184.79,12764.02,6,39977,3,5.34,Bi-weekly,2,0,Medical,Livestock,False,54,24.27,0
L100100,C50100,Other,24,Married,Tertiary,Nairobi,Informal,15138.17,16342.4,4,35791,6,8.45,Monthly,1,0,Business,Guarantor,False,35,87.11,0
L100101,C50101,Other,55,Widowed,Tertiary,Machakos,Formal,45647.21,19576.53,2,2864,12,13.19,Monthly,2,0,Medical,Livestock,True,4,57.82,0
L100102,C50102,Other,50,Married,Primary,Meru,Self-employed,42086.87,5908.92,7,46203,12,15.86,Monthly,1,1,Education,Livestock,False,41,67.95,0
L100103,C50103,Male,29,Divorced,Primary,Machakos,Unemployed,36013.09,-40.95,6,24713,12,23.91,Monthly,4,0,Emergency,Livestock,True,34,75.92,1
L100104,C50104,Other,62,Single,None,Kisumu,Formal,57386.29,-3401.03,8,3225,12,7.91,Weekly,3,0,Agriculture,Livestock,True,34,40.02,0
L100105,C50105,Other,29,Single,Primary,Mombasa,Formal,1642.25,16143.25,7,34298,6,10.25,Bi-weekly,2,0,Business,Electronics,True,32,73.69,1
L100106,C50106,Male,36,Single,None,Machakos,Self-employed,22962.45,7650.88,6,31234,24,14.2,Weekly,2,1,Agriculture,Electronics,True,19,5.01,0
L100107,C50107,Other,26,Single,Secondary,Machakos,Formal,9669.06,7300.27,7,3206,6,11.85,Bi-weekly,3,0,Education,Guarantor,True,24,56.15,0
L100108,C50108,Male,27,Divorced,None,Mombasa,Unemployed,57934.98,11584.23,4,22043,6,19.06,Monthly,1,0,Agriculture,Electronics,False,57,80.98,0
L100109,C50109,Female,34,Widowed,Tertiary,Kisumu,Unemployed,49122.57,21508.06,4,6392,24,9.82,Monthly,0,0,Household,Livestock,True,55,95.01,1
L100110,C50110,Other,57,Widowed,Primary,Meru,Self-employed,33356.99,-6748.91,3,47886,24,13.5,Monthly,1,1,Household,Electronics,False,49,53.12,1
L100111,C50111,Female,56,Widowed,Secondary,Machakos,Informal,33232.39,7246.03,9,14358,12,8.19,Bi-weekly,1,0,Emergency,Electronics,False,47,13.06,0
L100112,C50112,Male,58,Married,Secondary,Mombasa,Formal,13057.61,18339.15,5,30240,6,7.69,Monthly,3,1,Education,Livestock,True,56,54.64,0
L100113,C50113,Other,27,Widowed,Primary,Eldoret,Formal,32738.39,16282.49,5,19334,6,8.76,Monthly,2,0,Household,None,True,44,19.95,1
L100114,C50114,Male,29,Married,Tertiary,Kisumu,Informal,12015.85,10996.22,6,1532,6,13.09,Weekly,1,0,Education,Electronics,False,36,8.84,0
L100115,C50115,Female,32,Divorced,Primary,Kisumu,Unemployed,55993.87,26418.31,5,15229,3,6.83,Bi-weekly,2,0,Agriculture,Electronics,True,53,83.12,0
L100116,C50116,Male,48,Married,Primary,Meru,Formal,39981.62,13569.44,5,25813,12,17.16,Weekly,2,0,Business,Electronics,False,49,11.86,0
L100117,C50117,Other,32,Widowed,Primary,Kisumu,Self-employed,49739.54,763.1,10,49218,3,13.44,Weekly,3,1,Agriculture,Electronics,False,51,19.32,0
L100118,C50118,Other,45,Single,None,Nairobi,Self-employed,13252.21,7127.99,9,45826,3,10.36,Monthly,1,0,Emergency,None,False,43,46.0,0
L100119,C50119,Female,21,Divorced,Secondary,Mombasa,Self-employed,34574.98,24713.52,6,45166,6,17.2,Weekly,1,0,Business,None,False,23,74.43,0
L100120,C50120,Male,53,Widowed,Secondary,Nakuru,Formal,12504.07,13180.07,6,34113,6,17.77,Monthly,0,0,Household,Electronics,False,21,47.34,1
L100121,C50121,Other,18,Widowed,Tertiary,Mombasa,Informal,19275.66,17456.7,4,27377,12,23.16,Monthly,3,1,Education,Livestock,True,14,62.71,0
L100122,C50122,Female,61,Widowed,Secondary,Mombasa,Formal,51198.85,24442.57,5,20506,3,5.76,Bi-weekly,4,0,Emergency,Electronics,False,5,78.26,1
L100123,C50123,Other,51,Divorced,Primary,Nairobi,Informal,27920.57,31409.92,4,17032,3,23.96,Weekly,2,1,Agriculture,None,False,51,74.45,0
L100124,C50124,Other,64,Single,Secondary,Eldoret,Informal,23501.5,2116.56,5,3379,6,13.06,Bi-weekly,1,1,Education,Guarantor,False,30,88.12,1
L100125,C50125,Male,34,Single,Tertiary,Machakos,Formal,36496.76,11104.86,4,17901,6,10.52,Weekly,2,0,Medical,Livestock,False,31,24.75,0
L100126,C50126,Other,56,Single,None,Eldoret,Unemployed,58946.36,13238.69,6,42686,24,9.79,Bi-weekly,6,0,Education,Title Deed,True,44,6.91,0
L100127,C50127,Male,55,Widowed,None,Nairobi,Informal,38039.88,13469.17,11,36532,12,21.58,Monthly,4,0,Medical,None,True,32,69.92,0
L100128,C50128,Other,61,Married,Primary,Nairobi,Formal,42270.01,18855.21,6,43752,6,11.96,Weekly,2,0,Medical,Electronics,False,18,73.12,1
L100129,C50129,Female,50,Widowed,Primary,Nairobi,Unemployed,26871.69,20764.95,6,16155,3,6.68,Monthly,1,0,Emergency,Electronics,False,50,89.54,0
L100130,C50130,Other,38,Single,Secondary,Mombasa,Unemployed,27646.03,13300.88,6,1403,24,14.7,Monthly,0,0,Medical,None,True,54,98.7,0
L100131,C50131,Male,43,Divorced,Secondary,Nairobi,Formal,-3639.95,11912.02,10,12404,3,16.5,Monthly,0,1,Education,Guarantor,False,23,9.07,0
L100132,C50132,Male,63,Married,Tertiary,Nakuru,Formal,6539.52,-1126.21,4,34973,24,6.72,Monthly,0,0,Household,Title Deed,False,7,60.52,0
L100133,C50133,Female,53,Married,Primary,Machakos,Unemployed,58042.4,8726.51,11,35142,24,18.16,Monthly,2,1,Household,Guarantor,True,11,59.55,0
L100134,C50134,Other,22,Widowed,Tertiary,Kisumu,Formal,37892.16,21873.91,8,44092,6,23.96,Weekly,2,2,Medical,Livestock,True,38,29.99,0
L100135,C50135,Other,50,Divorced,None,Eldoret,Unemployed,40280.56,4363.16,3,11377,24,22.54,Monthly,1,0,Business,Electronics,False,4,39.18,0
L100136,C50136,Female,18,Married,Secondary,Meru,Unemployed,24040.37,20349.4,6,43118,6,24.82,Bi-weekly,2,0,Medical,None,False,18,13.59,0
L100137,C50137,Other,23,Single,Primary,Nakuru,Unemployed,31112.85,2153.13,4,2570,24,17.7,Monthly,6,0,Business,None,False,45,87.67,0
L100138,C50138,Other,54,Widowed,Secondary,Meru,Self-employed,38734.44,16284.55,3,37504,3,8.3,Weekly,2,0,Medical,Title Deed,True,40,87.83,0
L100139,C50139,Male,19,Widowed,Primary,Eldoret,Formal,50519.11,14230.17,3,29100,24,15.91,Monthly,2,0,Household,Title Deed,False,18,42.33,0
L100140,C50140,Other,22,Single,None,Machakos,Self-employed,47651.52,5710.45,4,14335,24,11.78,Bi-weekly,0,0,Education,Guarantor,True,37,42.53,1
L100141,C50141,Other,43,Single,Tertiary,Mombasa,Formal,29059.15,-12438.24,11,5267,24,15.07,Weekly,2,0,Emergency,Title Deed,True,25,96.19,0
L100142,C50142,Female,58,Single,Primary,Mombasa,Informal,42165.14,12880.57,8,34784,6,11.63,Weekly,4,2,Medical,Guarantor,True,49,37.38,0
L100143,C50143,Female,64,Married,Secondary,Nairobi,Self-employed,31558.22,11495.63,6,34516,3,13.91,Monthly,5,0,Medical,Title Deed,False,37,30.15,1
L100144,C50144,Male,30,Divorced,Primary,Eldoret,Formal,37085.72,18035.4,6,22674,3,9.81,Weekly,1,0,Emergency,Electronics,True,30,18.5,0
L100145,C50145,Other,29,Married,Tertiary,Mombasa,Formal,47101.73,14114.28,6,18769,3,20.82,Monthly,1,0,Emergency,Electronics,False,19,32.04,1
L100146,C50146,Other,22,Divorced,None,Mombasa,Unemployed,42591.39,3141.44,7,49862,6,22.79,Bi-weekly,2,0,Agriculture,Guarantor,False,35,78.71,1
L100147,C50147,Other,19,Widowed,Secondary,Meru,Informal,23337.66,2230.12,4,15567,24,16.17,Bi-weekly,0,0,Household,None,True,8,59.71,0
L100148,C50148,Male,21,Divorced,None,Meru,Informal,39864.97,29095.79,10,1014,3,18.9,Weekly,2,2,Business,Livestock,True,33,3.33,0
L100149,C50149,Male,44,Single,None,Eldoret,Formal,59762.67,11859.08,5,4964,12,6.9,Monthly,3,2,Business,Electronics,True,34,14.09,0
L100150,C50150,Female,27,Married,Tertiary,Mombasa,Informal,7661.25,9861.74,6,21599,3,15.64,Monthly,2,0,Emergency,None,False,35,0.6,0
L100151,C50151,Male,30,Single,Primary,Machakos,Informal,30048.49,9691.6,7,40586,24,13.0,Monthly,1,1,Agriculture,Title Deed,False,3,80.13,0
L100152,C50152,Other,61,Widowed,Primary,Nairobi,Self-employed,15031.39,14930.63,6,47352,3,14.59,Weekly,2,0,Household,Guarantor,True,41,84.62,0
L100153,C50153,Other,19,Married,Primary,Mombasa,Informal,32042.79,14447.17,7,36817,24,9.48,Bi-weekly,0,1,Household,Guarantor,False,55,67.75,0
L100154,C50154,Male,43,Married,Primary,Nakuru,Informal,41332.61,978.46,6,48377,24,11.32,Monthly,2,0,Household,None,True,2,68.51,0
L100155,C50155,Other,32,Single,Secondary,Nakuru,Unemployed,20778.4,2041.83,4,44718,24,5.44,Weekly,2,1,Medical,Electronics,True,38,76.46,0
L100156,C50156,Other,63,Married,None,Nairobi,Unemployed,16094.9,24582.41,7,42399,3,9.29,Monthly,3,1,Household,Title Deed,False,7,4.56,0
L100157,C50157,Male,27,Single,Primary,Nakuru,Self-employed,53427.88,14827.39,7,44766,24,24.77,Bi-weekly,3,0,Education,Electronics,True,42,97.01,0
L100158,C50158,Male,39,Divorced,None,Meru,Formal,36342.49,6380.17,11,7009,24,15.63,Monthly,2,1,Emergency,Title Deed,True,43,78.48,1
L100159,C50159,Other,57,Widowed,Secondary,Mombasa,Unemployed,45740.28,316.17,8,33148,6,17.24,Weekly,2,1,Business,None,False,45,43.97,0
L100160,C50160,Other,42,Single,Secondary,Nakuru,Self-employed,43187.15,5929.45,5,33600,24,24.91,Bi-weekly,0,1,Education,None,False,31,22.73,0
L100161,C50161,Other,32,Widowed,Secondary,Nakuru,Informal,16815.42,697.02,8,42479,24,20.1,Monthly,0,0,Education,Title Deed,True,45,64.55,0
L100162,C50162,Female,30,Married,None,Mombasa,Self-employed,45383.11,5876.9,4,40270,6,23.64,Weekly,0,1,Education,Electronics,True,28,50.18,0
L100163,C50163,Female,25,Widowed,Primary,Eldoret,Unemployed,21866.49,15575.23,7,19656,24,21.52,Weekly,3,1,Agriculture,Title Deed,True,2,42.34,0
L100164,C50164,Female,38,Widowed,None,Nairobi,Informal,19545.01,20557.57,7,47266,3,7.77,Weekly,2,1,Agriculture,Electronics,False,1,21.56,0
L100165,C50165,Male,38,Widowed,Primary,Eldoret,Self-employed,45375.06,10231.55,12,1034,6,17.47,Bi-weekly,1,0,Business,Livestock,True,14,83.18,0
L100166,C50166,Female,39,Married,Tertiary,Eldoret,Unemployed,8590.6,5779.26,3,27736,12,13.94,Monthly,3,0,Agriculture,None,True,23,51.3,0
L100167,C50167,Male,63,Divorced,Primary,Nakuru,Self-employed,13386.14,7652.03,4,43022,24,24.45,Monthly,1,1,Emergency,Electronics,True,52,25.31,0
